% pa1
A a
坰 jiong1
坱 yang3
坲 fo2
坴 lu4
坷 ke3
坻 chi2,di3
坼 che4
附 fu4
垂 chui2
垃 la1
垈 dai4
型 xing2
垌 dong4
垍 ji4
垓 gai1
垔 yin1
垕 hou4
垖 dui1
垗 zhao4
垚 yao2
垛 duo3,duo4
垝 gui3
垞 cha2
垟 yang2
垠 yin2
垡 fa2
垢 gou4
垣 yuan2
垤 die2
垧 shang3
垮 kua3
垯 da5
垵 an3
垺 pou2
垾 han4
垿 xu4
埀 chui2
埂 geng3
埃 ai1
埄 beng3,feng1
埆 que4
埇 yong3
埈 jun4
埋 mai2,man2
埌 lang4
城 cheng2
埏 shan1,yan2
埒 lie4
埔 pu3,bu4
埕 cheng2
埗 bu4
埛 jiong1
野 ye3
埝 nian4
域 yu4
埠 bu4
垭 ya1
埤 pi2
埦 wan3
埧 ju4
埫 shang3,tang3
埭 dai4
埯 an3
埰 cai4
埲 beng3
埴 zhi2
埵 duo3
埶 yi4
执 zhi2
埸 yi4
培 pei2
基 ji1
埼 qi2
埽 sao4
堀 ku1
堂 tang2
堄 ni4
坚 jian1
堆 dui1
堇 jin3
堈 gang1
堉 yu4
垩 e4
堋 peng2
堌 gu4
堍 tu4
堎 ling2
垴 nao3
塍 cheng2
堙 yin1
埚 guo1
堞 die2
堠 hou4
堡 bao3,pu4
堤 di1
阶 jie1
堧 ruan2
堨 e4
堪 kan1
堭 huang2
堮 e4
尧 yao2
堰 yan4
报 bao4
堲 ji2
堳 mei2
场 chang3,chang2
堵 du3
堽 gang1
堿 jian3
塁 lei3
塂 jiang3
塄 leng2
塈 ji4
块 kuai4
茔 ying2
塌 ta1
垲 kai3
塑 su4
埘 shi2
塓 mi4
塔 ta3
塕 weng3
涂 tu2
塘 tang2
塙 que4
塝 bang4
塞 sai1,sai4,se4
葬 zang4
塠 dui1
塡 tian2
坞 wu4
埙 xun1
塥 ge2
塩 yan2
填 tian2
塬 yuan2
塱 lang3
尘 chen2
堑 qian4
砖 zhuan1
